SNP_ID	DiseaseTrait
rs6704320	No associated clinical information for this SNP
rs12080837	No associated clinical information for this SNP
rs16859774	No associated clinical information for this SNP
rs10911157	No associated clinical information for this SNP
rs6681606	No associated clinical information for this SNP
rs16859878	No associated clinical information for this SNP
rs10911203	No associated clinical information for this SNP
rs10752893	No associated clinical information for this SNP
rs10911233	No associated clinical information for this SNP
rs10494560	No associated clinical information for this SNP
rs3814337	No associated clinical information for this SNP
rs10494561	No associated clinical information for this SNP
rs2480767	No associated clinical information for this SNP
rs6687056	No associated clinical information for this SNP
rs2276879	No associated clinical information for this SNP
rs17483835	No associated clinical information for this SNP
rs11577151	Systemic lupus erythematosus (MTAG)
rs6702692	No associated clinical information for this SNP
rs10752912	No associated clinical information for this SNP
rs2226099	No associated clinical information for this SNP
rs6662844	No associated clinical information for this SNP
rs3845461	No associated clinical information for this SNP
rs2274064	No associated clinical information for this SNP
rs3845466	No associated clinical information for this SNP
rs2231241	No associated clinical information for this SNP
rs10494566	No associated clinical information for this SNP
rs10494568	No associated clinical information for this SNP
rs4262497	No associated clinical information for this SNP
rs10494570	No associated clinical information for this SNP
rs3010062	No associated clinical information for this SNP
rs9425322	No associated clinical information for this SNP
rs3814329	No associated clinical information for this SNP
rs12031722	No associated clinical information for this SNP
rs10752924	No associated clinical information for this SNP
rs7522001	No associated clinical information for this SNP
rs1887279	No associated clinical information for this SNP
rs2182625	No associated clinical information for this SNP
rs12748062	No associated clinical information for this SNP
rs6660832	No associated clinical information for this SNP
