SNP_ID	Chromosome_Number	Chromosome_Position	Genes	DiseaseTrait
rs1342038	1	173332377	No gene information found	Diabetic retinopathy
rs6701588	1	173384020	No gene information found	No associated clinical information for this SNP
rs7512487	1	173422756	PRDX6-AS1	No associated clinical information for this SNP
rs12085083	1	173439178	PRDX6-AS1	No associated clinical information for this SNP
rs10737302	1	173441797	PRDX6-AS1	No associated clinical information for this SNP
rs4405161	1	173445853	PRDX6-AS1	No associated clinical information for this SNP
rs7540065	1	173479897	PRDX6;PRDX6-AS1	No associated clinical information for this SNP
rs12080769	1	173501319	SLC9C2	No associated clinical information for this SNP
rs7525100	1	173506473	SLC9C2	No associated clinical information for this SNP
rs6675929	1	173519147	SLC9C2	No associated clinical information for this SNP
rs728908	1	173519310	SLC9C2	No associated clinical information for this SNP
rs12745058	1	173520535	SLC9C2	No associated clinical information for this SNP
rs10912632	1	173522881	SLC9C2	No associated clinical information for this SNP
rs1925340	1	173540226	SLC9C2	No associated clinical information for this SNP
rs6699404	1	173546929	SLC9C2	No associated clinical information for this SNP
rs6425247	1	173548401	SLC9C2	No associated clinical information for this SNP
rs7551131	1	173548408	SLC9C2	No associated clinical information for this SNP
rs16846220	1	173554587	SLC9C2	No associated clinical information for this SNP
rs16828416	1	173583564	SLC9C2	No associated clinical information for this SNP
rs6425251	1	173587289	SLC9C2	No associated clinical information for this SNP
rs16846278	1	173599069	SLC9C2	No associated clinical information for this SNP
rs11579825	1	173616635	ANKRD45	No associated clinical information for this SNP
rs11808435	1	173645812	ANKRD45	No associated clinical information for this SNP
rs12561796	1	173664389	ANKRD45	No associated clinical information for this SNP
rs11578058	1	173743991	KLHL20	No associated clinical information for this SNP
rs16846395	1	173755962	KLHL20	No associated clinical information for this SNP
rs6425260	1	173826815	DARS2	No associated clinical information for this SNP
rs16846520	1	173886070	ZBTB37	No associated clinical information for this SNP
rs6698314	1	173889777	ZBTB37	No associated clinical information for this SNP
rs6691053	1	173899817	ZBTB37	Heel bone mineral density
rs2227612	1	173906263	SERPINC1	Body mass index
rs2227607	1	173911614	SERPINC1	Heel bone mineral density
rs2227589	1	173917078	SERPINC1	No associated clinical information for this SNP
rs6689285	1	174050595	No gene information found	No associated clinical information for this SNP
rs6687429	1	174075138	No gene information found	No associated clinical information for this SNP
rs10912735	1	174159002	RABGAP1L-DT	No associated clinical information for this SNP
rs1890881	1	174207785	RABGAP1L	No associated clinical information for this SNP
rs7535987	1	174240840	RABGAP1L	No associated clinical information for this SNP
rs10912754	1	174273667	RABGAP1L	No associated clinical information for this SNP
rs7545388	1	174296285	RABGAP1L	No associated clinical information for this SNP
rs6684688	1	174357180	RABGAP1L	No associated clinical information for this SNP
rs10912779	1	174404311	RABGAP1L	No associated clinical information for this SNP
rs12565430	1	174431399	RABGAP1L	No associated clinical information for this SNP
rs10489261	1	174471545	RABGAP1L	Body mass index (MTAG)
rs12075213	1	174500610	RABGAP1L	No associated clinical information for this SNP
rs10912807	1	174547228	RABGAP1L	No associated clinical information for this SNP
rs2072758	1	174556779	RABGAP1L	No associated clinical information for this SNP
rs6691118	1	174577798	RABGAP1L	No associated clinical information for this SNP
rs16847237	1	174585278	RABGAP1L	No associated clinical information for this SNP
rs333422	1	174664167	RABGAP1L	No associated clinical information for this SNP
rs1754356	1	174809838	RABGAP1L	No associated clinical information for this SNP
rs913686	1	174866607	RABGAP1L	No associated clinical information for this SNP
rs10912858	1	174965449	RABGAP1L	No associated clinical information for this SNP
rs16847730	1	175025654	No gene information found	No associated clinical information for this SNP
rs2072040	1	175127197	TNN	No associated clinical information for this SNP
rs12146041	1	175133025	TNN	No associated clinical information for this SNP
rs1012466	1	175140748	TNN	No associated clinical information for this SNP
rs10912899	1	175151579	No gene information found	No associated clinical information for this SNP
rs6659761	1	175214803	No gene information found	No associated clinical information for this SNP
rs10912922	1	175250113	No gene information found	No associated clinical information for this SNP
rs10798380	1	175317260	TNR	No associated clinical information for this SNP
rs723640	1	175356069	TNR	No associated clinical information for this SNP
rs16848353	1	175372412	TNR	No associated clinical information for this SNP
rs2239819	1	175406333	TNR	No associated clinical information for this SNP
rs10912977	1	175429977	TNR	No associated clinical information for this SNP
rs6655978	1	175434373	TNR	No associated clinical information for this SNP
rs860907	1	175442776	TNR	No associated clinical information for this SNP
rs10912982	1	175446293	TNR	No associated clinical information for this SNP
rs7547439	1	175461719	TNR	No associated clinical information for this SNP
rs12074467	1	175473735	TNR	No associated clinical information for this SNP
rs10913008	1	175562498	TNR	No associated clinical information for this SNP
rs16848639	1	175563722	TNR	No associated clinical information for this SNP
rs4570382	1	175582304	TNR	No associated clinical information for this SNP
rs7526889	1	175613114	TNR	No associated clinical information for this SNP
rs2012430	1	175616176	TNR	No associated clinical information for this SNP
rs12037583	1	175624169	TNR	No associated clinical information for this SNP
rs12089079	1	175653292	TNR	No associated clinical information for this SNP
rs12025758	1	175669200	TNR	No associated clinical information for this SNP
rs4233164	1	175682650	TNR	No associated clinical information for this SNP
rs12401659	1	175683393	TNR	No associated clinical information for this SNP
rs587874	1	175684513	TNR	No associated clinical information for this SNP
rs12404663	1	175689395	TNR	No associated clinical information for this SNP
rs1155911	1	175695809	TNR	No associated clinical information for this SNP
rs10913063	1	175706460	TNR	No associated clinical information for this SNP
rs12040313	1	175715158	TNR	No associated clinical information for this SNP
rs12144778	1	175715447	TNR	No associated clinical information for this SNP
rs16849068	1	175741980	TNR	No associated clinical information for this SNP
